date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:01:07	17386/17386	---M-Z	200	added ('OK')	text/html	etag:%223892f775ee64744ba0ac1d3f94604814-ssl-df%22	https://lusion.co/	C:/My%20Web%20Sites/CAP/lusion.co/index.html	(from )
20:01:07	31/31	---M--	200	added ('OK')	text/plain	etag:%22bb8cca0cca5b92c2011e7bab9d98fc91-ssl%22	https://lusion.co/robots.txt		(from )
20:01:07	1518/1518	---M--	200	added ('OK')	image/png	etag:%226fd272ee8990f40bf83fb280ad5ad2a3-ssl%22	https://lusion.co/apple-touch-icon.png	C:/My%20Web%20Sites/CAP/lusion.co/apple-touch-icon.png	(from https://lusion.co/)
20:01:08	236/236	---M--	200	added ('OK')	image/png	etag:%227b5e7407c6f17e9ba56b8df2fcb30d8b-ssl%22	https://lusion.co/favicon-32x32.png	C:/My%20Web%20Sites/CAP/lusion.co/favicon-32x32.png	(from https://lusion.co/)
20:01:09	203/203	---M--	200	added ('OK')	image/png	etag:%2216617906c7b0a4cb1d8b95fbf0970d1b-ssl%22	https://lusion.co/favicon-16x16.png	C:/My%20Web%20Sites/CAP/lusion.co/favicon-16x16.png	(from https://lusion.co/)
20:01:09	311/311	---M--	200	added ('OK')	application/octet-stream	etag:%22a9bf4293dc83d63f5783fb1039ef832f-ssl%22	https://lusion.co/site.webmanifest	C:/My%20Web%20Sites/CAP/lusion.co/site.webmanifest	(from https://lusion.co/)
20:01:11	940/940	---M--	200	added ('OK')	image/svg+xml	etag:%22bf95b3d76f8602653abf767d4a8f23c7-ssl%22	https://lusion.co/safari-pinned-tab.svg	C:/My%20Web%20Sites/CAP/lusion.co/safari-pinned-tab.svg	(from https://lusion.co/)
20:01:13	19594/19594	---M--	200	added ('OK')	image/png	etag:%22fc555dd03083bc879ae4b37a4e4c04a2-ssl%22	https://lusion.co/assets/images/share.png	C:/My%20Web%20Sites/CAP/lusion.co/assets/images/share.png	(from https://lusion.co/)
20:01:13	53/53	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:11%20GMT	http://lusion.co/assets/css/index.css	C:/My%20Web%20Sites/CAP/lusion.co/assets/css/index.6.delayed	(from https://lusion.co/)
20:01:14	38/38	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2004%20Aug%202023%2014:31:12%20GMT	http://lusion.co/about	C:/My%20Web%20Sites/CAP/lusion.co/about.8.delayed	(from https://lusion.co/)
